,Needs MWh
1742,0.0348
1743,0.041024
1744,0.038457
1745,0.04164
1746,0.06019
1747,0.07669
1748,0.07462
1749,0.06708
1750,0.05599
1751,0.04276
1752,0.03198
1753,0.02544
1754,0.02237
1755,0.02109
1756,0.02087
1757,0.02267
1758,0.02907
1759,0.033146
1760,0.016856
1761,0.001106
1762,0.026175
1763,0.028287
1764,0.015677
1765,0.034545
1766,0.041086
1767,0.038036
1768,0.035996
1769,0.040108
1770,0.05609
1771,0.07353
1772,0.07282
1773,0.06849
1774,0.05717
1775,0.04344
1776,0.03198
1777,0.02544
1778,0.02237
1779,0.02109
1780,0.02087
1781,0.02267
1782,0.02907
1783,0.037789
1784,0.036319
1785,0.029238
1786,0.029387
1787,0.034478
1788,0.027209
1789,0.037058
1790,0.036122
1791,0.031827
1792,0.036144
1793,0.04284
1794,0.05609
1795,0.07353
1796,0.07282
1797,0.06849
1798,0.05717
1799,0.04344
1800,0.03198
1801,0.02544
1802,0.02237
1803,0.02109
1804,0.02087
1805,0.02267
1806,0.02907
1807,0.036345
1808,0.033786
1809,0.034907
1810,0.022336
1811,0.019809
1812,0.038069
1813,0.037903
1814,0.037066
1815,0.035914
1816,0.03314
1817,0.039336
1818,0.05609
1819,0.07353
1820,0.07282
1821,0.06849
1822,0.05717
1823,0.04344
1824,0.03198
1825,0.02544
1826,0.02237
1827,0.02109
1828,0.02087
1829,0.02267
1830,0.02907
1831,0.034181
1832,0.015394
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.000534
1841,0.042064
1842,0.05609
1843,0.07353
1844,0.07282
1845,0.06849
1846,0.05717
1847,0.04344
1848,0.03198
1849,0.02544
1850,0.02237
1851,0.02109
1852,0.02087
1853,0.02267
1854,0.02907
1855,0.032582
1856,0.011577
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.000133
1865,0.026434
1866,0.05609
1867,0.07353
1868,0.07282
1869,0.06849
1870,0.05717
1871,0.04344
1872,0.03378
1873,0.02671
1874,0.02319
1875,0.02159
1876,0.02114
1877,0.02241
1878,0.02657
1879,0.028166
1880,0.0139
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.00953
1889,0.034275
1890,0.06359
1891,0.08399
1892,0.07755
1893,0.06751
1894,0.05795
1895,0.04594
